,id,target
0,42795,0.0
1,12767,0.0
2,19141,0.0
3,49638,1.0
4,45812,0.0
5,18015,0.0
6,3989,0.0
7,49467,0.0
8,2829,0.0
9,5227,1.0
10,16581,0.0
11,13659,0.0
12,32397,0.0
13,18488,0.0
14,2726,0.0
15,39716,0.0
16,8749,0.0
17,26947,0.0
18,37562,0.0
19,40843,0.0
20,37240,0.0
21,2265,0.0
22,31762,0.0
23,18559,0.0
24,3531,0.0
25,42846,0.0
26,36279,0.0
27,20618,0.0
28,31341,1.0
29,15953,0.0
30,19081,0.0
31,2972,1.0
32,22199,0.0
33,32716,0.0
34,34832,0.0
35,1204,0.0
36,38175,1.0
37,29892,0.0
38,2449,0.0
39,52644,0.0
40,45794,0.0
41,46225,0.0
42,40730,0.0
43,47396,0.0
44,42416,0.0
45,47374,0.0
46,30508,1.0
47,44542,0.0
48,30300,0.0
49,47101,0.0
50,43102,0.0
51,45687,0.0
52,14101,0.0
53,4777,0.0
54,47275,0.0
55,7175,0.0
56,44593,0.0
57,39873,0.0
58,37244,0.0
59,845,0.0
60,38309,0.0
61,39648,0.0
62,9292,0.0
63,8161,0.0
64,18845,0.0
65,36484,0.0
66,10082,0.0
67,32161,0.0
68,21169,0.0
69,40283,0.0
70,34813,1.0
71,10670,0.0
72,23901,0.0
73,8115,0.0
74,15493,0.0
75,11471,0.0
76,52647,0.0
77,619,0.0
78,4309,0.0
79,50184,0.0
80,16464,0.0
81,48714,0.0
82,19435,0.0
83,38668,0.0
84,43784,0.0
85,28036,0.0
86,40263,0.0
87,32762,0.0
88,31588,0.0
89,21680,0.0
90,31210,0.0
91,3338,0.0
92,28333,0.0
93,42698,0.0
94,17186,0.0
95,46116,0.0
96,37979,0.0
97,50164,0.0
98,18192,1.0
99,44438,1.0
100,26408,0.0
101,8893,0.0
102,31191,0.0
103,33927,0.0
104,9073,0.0
105,9408,0.0
106,53202,1.0
107,19316,0.0
108,50209,1.0
109,15572,0.0
110,42321,0.0
111,20637,1.0
112,53299,0.0
113,27898,0.0
114,43161,0.0
115,42162,0.0
116,18428,0.0
117,32866,0.0
118,41542,0.0
119,14626,0.0
120,44403,1.0
121,7420,0.0
122,22258,0.0
123,18955,0.0
124,8296,0.0
125,949,0.0
126,40396,0.0
127,3404,0.0
128,48841,0.0
129,555,0.0
130,52774,0.0
131,20725,0.0
132,8328,0.0
133,41238,1.0
134,47975,0.0
135,42121,0.0
136,7760,0.0
137,17839,0.0
138,5042,0.0
139,48544,0.0
140,16904,0.0
141,29501,0.0
142,43569,1.0
143,26379,0.0
144,33958,0.0
145,21156,0.0
146,54285,0.0
147,1733,0.0
148,12918,0.0
149,37748,0.0
150,28452,0.0
151,42652,0.0
152,50584,0.0
153,40768,0.0
154,44598,0.0
155,10415,0.0
156,18495,0.0
157,12102,0.0
158,51721,0.0
159,27214,1.0
160,32053,1.0
161,37243,0.0
162,50801,0.0
163,46065,0.0
164,987,0.0
165,13994,0.0
